                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.47384,                0.32322,                0.82419,                 0.9959,                0.99958,                  0.995,                0.88332,                0.36189,                0.21594,                0.77393,              0.0004057,              0.0004057,              0.0004057
                      2,                0.43334,                0.26831,                0.81113,                 0.9981,                      1,                  0.995,                0.89474,                0.36907,                0.21213,                0.77104,             0.00081965,             0.00081965,             0.00081965
                      3,                0.42317,                 0.2684,                0.80615,                0.99858,                      1,                  0.995,                 0.9005,                0.33638,                0.22264,                0.76877,              0.0012309,              0.0012309,              0.0012309
                      4,                0.42599,                 0.2691,                0.80669,                0.99828,                      1,                  0.995,                0.87185,                0.37694,                0.21888,                0.77266,              0.0012376,              0.0012376,              0.0012376
                      5,                0.42282,                0.25973,                0.81085,                 0.9964,                      1,                  0.995,                0.89965,                 0.3654,                0.21076,                0.77094,              0.0012376,              0.0012376,              0.0012376
                      6,                0.42303,                0.26422,                0.81194,                0.99812,                      1,                  0.995,                0.89294,                0.34075,                0.21347,                0.76874,              0.0012335,              0.0012335,              0.0012335
                      7,                 0.4123,                0.25767,                0.80982,                0.99231,                 0.9992,                  0.995,                0.90093,                0.35227,                0.22621,                0.76919,              0.0012294,              0.0012294,              0.0012294
                      8,                0.42674,                 0.2579,                0.81037,                0.99743,                      1,                  0.995,                 0.8776,                0.36503,                0.21341,                0.77183,              0.0012252,              0.0012252,              0.0012252
                      9,                0.41927,                0.25562,                0.80467,                0.99926,                      1,                  0.995,                0.90738,                0.31295,                0.19661,                0.76542,              0.0012211,              0.0012211,              0.0012211
                     10,                0.41915,                0.25188,                0.80415,                0.99851,                      1,                  0.995,                0.90103,                0.34226,                0.20662,                0.76823,               0.001217,               0.001217,               0.001217
                     11,                0.41741,                0.25981,                0.81258,                0.99402,                      1,                  0.995,                0.88575,                0.36839,                0.22211,                0.77115,              0.0012129,              0.0012129,              0.0012129
                     12,                0.41536,                0.25154,                0.80692,                0.99807,                      1,                  0.995,                0.89078,                0.34747,                0.20229,                0.76982,              0.0012087,              0.0012087,              0.0012087
                     13,                0.41465,                0.25523,                0.80491,                0.99854,                      1,                  0.995,                0.89683,                0.33722,                0.20736,                0.76561,              0.0012046,              0.0012046,              0.0012046
                     14,                0.41955,                0.25485,                0.80896,                 0.9979,                      1,                  0.995,                0.90451,                0.33134,                0.19571,                0.76699,              0.0012005,              0.0012005,              0.0012005
                     15,                0.40469,                0.25021,                0.80499,                0.99783,                      1,                  0.995,                0.90547,                0.32492,                0.20153,                0.76632,              0.0011964,              0.0011964,              0.0011964
                     16,                0.41214,                0.25309,                0.80656,                0.99775,                      1,                  0.995,                0.89444,                0.32809,                0.19977,                0.76678,              0.0011922,              0.0011922,              0.0011922
                     17,                0.41702,                0.25922,                0.81035,                0.99678,                      1,                  0.995,                0.87967,                 0.3838,                0.23067,                0.77537,              0.0011881,              0.0011881,              0.0011881
                     18,                0.39503,                0.24515,                0.80186,                0.99815,                      1,                  0.995,                0.89815,                0.34647,                0.21686,                0.76909,               0.001184,               0.001184,               0.001184
                     19,                0.39992,                0.24534,                0.80252,                0.99829,                      1,                  0.995,                0.90081,                0.33237,                 0.2037,                0.76676,              0.0011799,              0.0011799,              0.0011799
                     20,                0.39162,                 0.2444,                0.80138,                0.99868,                      1,                  0.995,                0.88279,                 0.3441,                0.20028,                0.76973,              0.0011757,              0.0011757,              0.0011757
                     21,                0.39955,                0.24525,                0.80881,                0.99864,                      1,                  0.995,                0.87878,                0.33949,                0.20062,                0.76805,              0.0011716,              0.0011716,              0.0011716
                     22,                0.39825,                0.24078,                0.80145,                0.99844,                      1,                  0.995,                0.88159,                0.33802,                0.19104,                0.76804,              0.0011675,              0.0011675,              0.0011675
                     23,                0.40294,                0.23975,                 0.8078,                0.99771,                      1,                  0.995,                0.89691,                0.35433,                0.20596,                0.76842,              0.0011634,              0.0011634,              0.0011634
                     24,                0.41338,                0.24299,                0.80516,                 0.9982,                      1,                  0.995,                 0.8905,                0.34347,                0.19564,                0.76768,              0.0011593,              0.0011593,              0.0011593
                     25,                0.39246,                0.24297,                0.80337,                0.99818,                      1,                  0.995,                 0.8849,                0.33598,                0.19459,                 0.7675,              0.0011551,              0.0011551,              0.0011551
                     26,                0.39865,                0.24035,                 0.8032,                0.99857,                      1,                  0.995,                0.87579,                0.35447,                0.19407,                0.76808,               0.001151,               0.001151,               0.001151
                     27,                0.39916,                 0.2401,                 0.8006,                0.99859,                      1,                  0.995,                0.89819,                0.34315,                0.19831,                0.76668,              0.0011469,              0.0011469,              0.0011469
                     28,                0.39798,                0.23856,                0.80602,                0.99843,                      1,                  0.995,                0.89193,                0.34081,                0.19456,                0.76837,              0.0011428,              0.0011428,              0.0011428
                     29,                0.39057,                0.24265,                0.80341,                0.99852,                      1,                  0.995,                0.89297,                 0.3538,                0.19508,                0.76977,              0.0011386,              0.0011386,              0.0011386
                     30,                 0.3892,                0.23172,                0.80249,                0.99838,                      1,                  0.995,                0.90422,                0.34543,                0.19712,                0.76793,              0.0011345,              0.0011345,              0.0011345
                     31,                0.38726,                0.23617,                0.80329,                0.99841,                      1,                  0.995,                0.89982,                0.35366,                 0.1953,                 0.7708,              0.0011304,              0.0011304,              0.0011304
                     32,                0.38745,                0.23379,                0.80392,                0.99832,                      1,                  0.995,                0.87955,                0.34892,                0.20206,                0.76981,              0.0011263,              0.0011263,              0.0011263
                     33,                0.39261,                0.23809,                0.80334,                0.99821,                      1,                  0.995,                0.89597,                0.35373,                0.20764,                0.76881,              0.0011221,              0.0011221,              0.0011221
                     34,                0.39972,                0.23887,                0.80334,                0.99845,                      1,                  0.995,                0.87972,                0.34063,                0.19464,                0.76702,               0.001118,               0.001118,               0.001118
                     35,                0.38617,                0.23616,                0.80362,                0.99802,                      1,                  0.995,                0.90049,                0.32926,                0.20018,                0.76546,              0.0011139,              0.0011139,              0.0011139
                     36,                0.38874,                0.23556,                0.80429,                0.99866,                      1,                  0.995,                0.89638,                0.32489,                0.19196,                0.76566,              0.0011098,              0.0011098,              0.0011098
                     37,                0.39396,                0.24091,                0.80689,                0.99793,                      1,                  0.995,                0.90064,                0.33114,                0.19058,                0.76665,              0.0011056,              0.0011056,              0.0011056
                     38,                0.39844,                0.23962,                0.80807,                0.99808,                      1,                  0.995,                 0.8983,                0.34352,                0.19737,                0.76733,              0.0011015,              0.0011015,              0.0011015
